ПОДРОБНЫЙ АНАЛИЗ ЗИГЗАГОВ
==================================================
Дата создания: 2025-08-06 14:50:54
Файл данных: processed_data/ml_data.csv
Колонка зигзага: zigzag (5.0%)

ОБЩАЯ СТАТИСТИКА
------------------------------
Всего записей: 266,184
Точек зигзага: 1,532
Анализируемых пар: 1,531

СТАТИСТИКА РАССТОЯНИЙ
------------------------------
Процентное изменение (%):
  Среднее: 10.0767
  Минимальное: 5.0073
  Максимальное: 65.9966
  Медиана: 8.5456
  Стд. отклонение: 5.3095

Изменение цены ($):
  Среднее: 2713.0940
  Минимальное: 167.6800
  Максимальное: 33515.6400
  Медиана: 1748.9900
  Стд. отклонение: 2920.2910

Расстояние в свечах:
  Среднее: 173.7348
  Минимальное: 1.0000
  Максимальное: 4038.0000
  Медиана: 65.0000
  Стд. отклонение: 307.9331

ДЕТАЛЬНЫЙ СПИСОК ВСЕХ РАССТОЯНИЙ
----------------------------------------
№    Тип1  Тип2  Процент%   Цена$        Свечи   
484  MIN   MAX   8.045      885.00       97      
485  MAX   MIN   8.877      1055.00      96      
486  MIN   MAX   5.743      622.00       20      
487  MAX   MIN   13.902     1592.00      97      
488  MIN   MAX   12.576     1240.00      84      
489  MAX   MIN   18.378     2040.00      146     
490  MIN   MAX   10.337     936.52       75      
491  MAX   MIN   7.448      744.52       30      
492  MIN   MAX   16.602     1536.00      39      
493  MAX   MIN   6.175      666.16       53      
494  MIN   MAX   9.357      947.15       136     
495  MAX   MIN   13.949     1543.99      357     
496  MIN   MAX   6.824      650.00       36      
497  MAX   MIN   5.287      538.00       105     
498  MIN   MAX   5.724      551.66       86      
499  MAX   MIN   10.047     1023.66      182     
500  MIN   MAX   34.541     3165.70      802     
501  MAX   MIN   8.953      1104.00      63      
502  MIN   MAX   8.145      914.47       58      
503  MAX   MIN   5.388      654.17       14      
504  MIN   MAX   5.158      592.51       20      
505  MAX   MIN   17.952     2168.51      733     
506  MIN   MAX   5.539      549.00       40      
507  MAX   MIN   6.788      710.00       26      
508  MIN   MAX   8.062      786.03       47      
509  MAX   MIN   5.088      536.03       99      
510  MIN   MAX   9.500      949.96       216     
511  MAX   MIN   10.849     1187.96      200     
512  MIN   MAX   6.997      683.00       149     
513  MAX   MIN   5.314      555.00       72      
